date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b
2019-03-29 19:45:00,Friday,19:45,4.33,1.80,3.90,0,1,2018/2019,Rennes,Lyon
2019-03-17 20:00:00,Sunday,20:00,1.28,9.72,6.34,3,1,2018/2019,Paris SG,Marseille
2019-03-17 16:00:00,Sunday,16:00,2.59,2.91,3.18,1,1,2018/2019,Bordeaux,Rennes
2019-03-17 14:00:00,Sunday,14:00,2.24,3.69,3.08,1,0,2018/2019,Reims,Nantes
2019-03-17 13:30:00,Sunday,13:30,1.46,6.89,4.63,3,2,2018/2019,Lyon,Montpellier
2019-03-16 19:00:00,Saturday,19:00,2.26,3.79,3.12,0,0,2018/2019,Angers,Amiens
2019-03-16 19:00:00,Saturday,19:00,3.20,2.42,3.16,0,5,2018/2019,Caen,St Etienne
2019-03-16 19:00:00,Saturday,19:00,2.11,3.99,3.15,1,0,2018/2019,Guingamp,Dijon
2019-03-16 19:00:00,Saturday,19:00,2.37,3.16,3.35,2,2,2018/2019,Nimes,Strasbourg
2019-03-15 19:45:00,Friday,19:45,2.01,4.07,3.55,0,1,2018/2019,Lille,Monaco
2019-03-15 18:00:00,Friday,18:00,2.32,3.45,3.17,1,1,2018/2019,Nice,Toulouse
2019-03-12 18:00:00,Tuesday,18:00,13.68,1.19,7.55,0,4,2018/2019,Dijon,Paris SG
2019-03-10 20:00:00,Sunday,20:00,1.48,7.07,4.39,1,0,2018/2019,Marseille,Nice
2019-03-10 16:00:00,Sunday,16:00,1.47,7.87,4.21,3,1,2018/2019,Rennes,Caen
2019-03-10 14:00:00,Sunday,14:00,1.97,4.39,3.22,2,2,2018/2019,Montpellier,Angers
2019-03-10 14:00:00,Sunday,14:00,2.68,2.83,3.18,0,1,2018/2019,St Etienne,Lille
2019-03-10 14:00:00,Sunday,14:00,2.14,3.73,3.26,1,0,2018/2019,Toulouse,Guingamp
2019-03-09 19:00:00,Saturday,19:00,2.65,2.84,3.22,2,1,2018/2019,Amiens,Nimes
2019-03-09 19:00:00,Saturday,19:00,2.92,2.61,3.15,1,1,2018/2019,Dijon,Reims
2019-03-09 19:00:00,Saturday,19:00,1.76,5.20,3.56,1,1,2018/2019,Monaco,Bordeaux
2019-03-09 16:00:00,Saturday,16:00,3.99,1.94,3.57,2,2,2018/2019,Strasbourg,Lyon
2019-03-05 18:00:00,Tuesday,18:00,2.51,3.26,2.96,1,2,2018/2019,Bordeaux,Montpellier
