date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b,outcome_effectif,min_odds,max_odds,good_pred,worst_pred,draw_pred
2019-09-21 19:00:00,Saturday,19:00,2.53,2.9,3.27,0,0,2019/2020,Reims,Monaco,DRAW,HOME,DRAW,0,1,0
2019-09-21 16:30:00,Saturday,16:30,2.03,4.09,3.24,1,1,2019/2020,Marseille,Montpellier,DRAW,HOME,AWAY,0,0,1
2019-09-20 19:45:00,Friday,19:45,2.32,3.52,3.03,2,1,2019/2020,Strasbourg,Nantes,HOME,HOME,AWAY,1,0,0
2019-09-15 20:00:00,Sunday,20:00,2.05,3.57,3.65,3,4,2019/2020,Monaco,Marseille,AWAY,HOME,DRAW,0,0,1
2019-09-15 16:00:00,Sunday,16:00,1.61,5.49,4.12,2,2,2019/2020,St Etienne,Toulouse,DRAW,HOME,AWAY,0,0,1
2019-09-15 14:00:00,Sunday,14:00,2.22,3.74,3.05,1,0,2019/2020,Nantes,Reims,HOME,HOME,AWAY,1,0,0
2019-09-14 19:00:00,Saturday,19:00,1.99,4.43,3.19,2,0,2019/2020,Bordeaux,Metz,HOME,HOME,AWAY,1,0,0
2019-09-14 19:00:00,Saturday,19:00,3.21,2.4,3.16,0,0,2019/2020,Brest,Rennes,DRAW,AWAY,HOME,0,0,1
2019-09-14 19:00:00,Saturday,19:00,2.82,2.56,3.34,0,0,2019/2020,Dijon,Nimes,DRAW,AWAY,DRAW,0,1,0
2019-09-14 19:00:00,Saturday,19:00,1.95,4.24,3.38,2,1,2019/2020,Montpellier,Nice,HOME,HOME,AWAY,1,0,0
2019-09-14 16:30:00,Saturday,16:30,1.18,14.63,7.76,1,0,2019/2020,Paris SG,Strasbourg,HOME,HOME,AWAY,1,0,0
2019-09-13 19:45:00,Friday,19:45,4.14,1.94,3.5,2,2,2019/2020,Amiens,Lyon,DRAW,AWAY,HOME,0,0,1
2019-09-13 18:00:00,Friday,18:00,1.92,4.4,3.38,2,1,2019/2020,Lille,Angers,HOME,HOME,AWAY,1,0,0
2019-09-01 20:00:00,Sunday,20:00,1.82,4.67,3.57,1,0,2019/2020,Marseille,St Etienne,HOME,HOME,AWAY,1,0,0
2019-09-01 16:00:00,Sunday,16:00,2.51,2.98,3.23,2,2,2019/2020,Strasbourg,Monaco,DRAW,HOME,DRAW,0,1,0
2019-09-01 14:00:00,Sunday,14:00,2.98,2.7,2.94,2,0,2019/2020,Reims,Lille,HOME,AWAY,HOME,0,1,0
2019-09-01 14:00:00,Sunday,14:00,1.76,5.23,3.51,1,2,2019/2020,Rennes,Nice,AWAY,HOME,AWAY,0,1,0
2019-08-31 19:00:00,Saturday,19:00,1.67,5.48,3.79,2,0,2019/2020,Angers,Dijon,HOME,HOME,AWAY,1,0,0
2019-08-31 19:00:00,Saturday,19:00,2.53,3.11,3.06,1,0,2019/2020,Nantes,Montpellier,HOME,HOME,AWAY,1,0,0
2019-08-31 19:00:00,Saturday,19:00,2.01,4.03,3.34,3,0,2019/2020,Nimes,Brest,HOME,HOME,AWAY,1,0,0
2019-08-31 19:00:00,Saturday,19:00,2.31,3.46,3.13,2,0,2019/2020,Toulouse,Amiens,HOME,HOME,AWAY,1,0,0
2019-08-31 16:30:00,Saturday,16:30,1.54,6.62,4.04,1,1,2019/2020,Lyon,Bordeaux,DRAW,HOME,AWAY,0,0,1
2019-08-30 19:45:00,Friday,19:45,6.59,1.5,4.43,0,2,2019/2020,Metz,Paris SG,AWAY,AWAY,HOME,1,0,0
2019-08-28 20:00:00,Wednesday,20:00,3.47,2.25,3.2,1,2,2019/2020,Nice,Marseille,AWAY,AWAY,HOME,1,0,0
2019-08-28 18:00:00,Wednesday,18:00,2.12,3.58,3.38,3,0,2019/2020,Lille,St Etienne,HOME,HOME,AWAY,1,0,0
2019-08-27 18:00:00,Tuesday,18:00,4.02,1.92,3.61,1,0,2019/2020,Montpellier,Lyon,HOME,AWAY,HOME,0,1,0
2019-08-25 20:00:00,Sunday,20:00,1.1,24.3,10.82,4,0,2019/2020,Paris SG,Toulouse,HOME,HOME,AWAY,1,0,0
2019-08-25 16:00:00,Sunday,16:00,2.84,2.74,3.06,0,2,2019/2020,Strasbourg,Rennes,AWAY,AWAY,DRAW,1,0,0
2019-08-25 14:00:00,Sunday,14:00,1.64,5.64,3.89,2,2,2019/2020,Monaco,Nimes,DRAW,HOME,AWAY,0,0,1
2019-08-24 19:00:00,Saturday,19:00,2.8,2.82,3.03,1,2,2019/2020,Amiens,Nantes,AWAY,HOME,DRAW,0,0,1
2019-08-24 19:00:00,Saturday,19:00,2.14,3.84,3.16,3,0,2019/2020,Angers,Metz,HOME,HOME,AWAY,1,0,0
2019-08-24 19:00:00,Saturday,19:00,2.67,2.92,3.06,1,0,2019/2020,Brest,Reims,HOME,HOME,DRAW,1,0,0
2019-08-24 19:00:00,Saturday,19:00,2.94,2.64,3.09,0,2,2019/2020,Dijon,Bordeaux,AWAY,AWAY,DRAW,1,0,0
2019-08-18 20:00:00,Sunday,20:00,8.08,1.37,5.25,2,1,2019/2020,Rennes,Paris SG,HOME,AWAY,HOME,0,1,0
2019-08-18 16:00:00,Sunday,16:00,2.09,4.07,3.15,0,0,2019/2020,Reims,Strasbourg,DRAW,HOME,AWAY,0,0,1
2019-08-18 14:00:00,Sunday,14:00,1.62,5.99,3.89,1,1,2019/2020,St Etienne,Brest,DRAW,HOME,AWAY,0,0,1
2019-08-17 19:00:00,Saturday,19:00,3.32,2.37,3.13,1,0,2019/2020,Amiens,Lille,HOME,AWAY,HOME,0,1,0
2019-08-17 19:00:00,Saturday,19:00,2.63,3.08,2.97,1,1,2019/2020,Bordeaux,Montpellier,DRAW,HOME,AWAY,0,0,1
2019-08-17 19:00:00,Saturday,19:00,3.09,2.48,3.18,3,0,2019/2020,Metz,Monaco,HOME,AWAY,DRAW,0,0,1
2019-08-17 19:00:00,Saturday,19:00,2.09,3.73,3.39,1,2,2019/2020,Nimes,Nice,AWAY,HOME,AWAY,0,1,0
2019-08-17 19:00:00,Saturday,19:00,1.99,3.99,3.45,1,0,2019/2020,Toulouse,Dijon,HOME,HOME,AWAY,1,0,0
2019-08-17 16:30:00,Saturday,16:30,2.49,3.07,3.17,0,0,2019/2020,Nantes,Marseille,DRAW,HOME,DRAW,0,1,0
2019-08-16 19:45:00,Friday,19:45,1.49,6.78,4.49,6,0,2019/2020,Lyon,Angers,HOME,HOME,AWAY,1,0,0
2019-08-11 20:00:00,Sunday,20:00,1.08,28.95,11.9,3,0,2019/2020,Paris SG,Nimes,HOME,HOME,AWAY,1,0,0
2019-08-11 16:00:00,Sunday,16:00,2.24,3.74,3.03,1,1,2019/2020,Strasbourg,Metz,DRAW,HOME,AWAY,0,0,1
2019-08-11 14:00:00,Sunday,14:00,2.34,3.47,3.04,2,1,2019/2020,Lille,Nantes,HOME,HOME,AWAY,1,0,0
2019-08-10 19:00:00,Saturday,19:00,2.08,3.98,3.2,3,1,2019/2020,Angers,Bordeaux,HOME,HOME,AWAY,1,0,0
2019-08-10 19:00:00,Saturday,19:00,2.08,3.76,3.36,1,1,2019/2020,Brest,Toulouse,DRAW,HOME,AWAY,0,0,1
2019-08-10 19:00:00,Saturday,19:00,3.78,2.06,3.39,1,2,2019/2020,Dijon,St Etienne,AWAY,AWAY,HOME,1,0,0
2019-08-10 19:00:00,Saturday,19:00,2.24,3.5,3.24,0,1,2019/2020,Montpellier,Rennes,AWAY,HOME,AWAY,0,1,0
2019-08-10 19:00:00,Saturday,19:00,2.31,3.65,2.98,2,1,2019/2020,Nice,Amiens,HOME,HOME,AWAY,1,0,0
2019-08-10 16:30:00,Saturday,16:30,1.73,5.63,3.49,0,2,2019/2020,Marseille,Reims,AWAY,HOME,AWAY,0,1,0
2019-08-09 19:45:00,Friday,19:45,3.37,2.17,3.53,0,3,2019/2020,Monaco,Lyon,AWAY,AWAY,DRAW,1,0,0
2019-06-02 20:00:00,Sunday,20:00,2.56,3.03,3.03,3,1,2018/2019,Dijon,Lens ,HOME,HOME,AWAY,1,0,0
2019-05-30 19:45:00,Thursday,19:45,2.14,3.88,3.07,1,1,2018/2019,Lens,Dijon ,DRAW,HOME,AWAY,0,0,1
2019-05-24 20:05:00,Friday,20:05,1.55,6.42,4.03,2,1,2018/2019,Amiens,Guingamp,HOME,HOME,AWAY,1,0,0
2019-05-24 20:05:00,Friday,20:05,2.15,3.2,3.78,1,1,2018/2019,Angers,St Etienne,DRAW,HOME,DRAW,0,1,0
2019-05-24 20:05:00,Friday,20:05,2.04,4.04,3.25,0,1,2018/2019,Caen,Bordeaux,AWAY,HOME,AWAY,0,1,0
2019-05-24 20:05:00,Friday,20:05,1.45,6.36,5.02,2,1,2018/2019,Dijon,Toulouse,HOME,HOME,AWAY,1,0,0
2019-05-24 20:05:00,Friday,20:05,1.86,4.0,3.91,1,0,2018/2019,Marseille,Montpellier,HOME,HOME,AWAY,1,0,0
2019-05-24 20:05:00,Friday,20:05,1.95,3.82,3.71,0,1,2018/2019,Nantes,Strasbourg,AWAY,HOME,AWAY,0,1,0
2019-05-24 20:05:00,Friday,20:05,3.41,2.2,3.38,2,0,2018/2019,Nice,Monaco,HOME,AWAY,HOME,0,1,0
2019-05-24 20:05:00,Friday,20:05,3.8,1.83,4.27,2,3,2018/2019,Nimes,Lyon,AWAY,AWAY,DRAW,1,0,0
2019-05-24 20:05:00,Friday,20:05,6.71,1.4,5.45,3,1,2018/2019,Reims,Paris SG,HOME,AWAY,HOME,0,1,0
2019-05-24 20:05:00,Friday,20:05,2.37,2.85,3.72,3,1,2018/2019,Rennes,Lille,HOME,HOME,DRAW,1,0,0
2019-05-24 17:00:00,Friday,17:00,2.87,2.71,2.92,1,2,2018/2019,Troyes,Lens,AWAY,AWAY,DRAW,1,0,0
